Origen,Destino,ConexionAeropuertos
Papua New Guinea,Australia,19
Papua New Guinea,Philippines,5
Papua New Guinea,Indonesia,2
Papua New Guinea,Solomon Islands,2
Papua New Guinea,Hong Kong,2
Papua New Guinea,Fiji,2
Papua New Guinea,Japan,2
Papua New Guinea,Singapore,2
Papua New Guinea,China,1
Papua New Guinea,Micronesia,1
Greenland,Denmark,2
Greenland,Iceland,5
Iceland,Finland,4
Iceland,Norway,11
Iceland,Netherlands,6
Iceland,Sweden,2
Iceland,Denmark,10
Iceland,United States,20
Iceland,Belgium,2
Iceland,France,8
Iceland,Germany,15
Iceland,United Kingdom,25
Iceland,Canada,5
Iceland,Switzerland,2
Iceland,Spain,9
Iceland,Ireland,1
Iceland,Faroe Islands,1
Iceland,Hungary,1
Iceland,Poland,5
Iceland,Latvia,1
Iceland,Austria,3
Iceland,Lithuania,1
Iceland,Czech Republic,2
Canada,China,40
Canada,Belgium,15
Canada,Jordan,6
Canada,United States,919
Canada,United Kingdom,87
Canada,Japan,24
Canada,Antigua and Barbuda,7
Canada,Aruba,4
Canada,United Arab Emirates,8
Canada,Dominican Republic,46
Canada,Spain,14
Canada,Bermuda,4
Canada,Barbados,6
Canada,Colombia,10
Canada,Cuba,78
Canada,France,52
Canada,Denmark,6
Canada,Mexico,167
Canada,Ireland,9
Canada,Italy,22
Canada,Martinique,2
Canada,Germany,45
Canada,Cayman Islands,4
Canada,Bahamas,10
Canada,Grenada,4
Canada,Brazil,6
Canada,Switzerland,20
Canada,Hong Kong,8
Canada,South Korea,10
Canada,Turkey,7
Canada,Jamaica,30
Canada,Peru,4
Canada,Costa Rica,14
Canada,Haiti,4
Canada,Turks and Caicos Islands,6
Canada,Guadeloupe,2
Canada,Chile,2
Canada,Australia,8
Canada,Israel,6
Canada,Saint Lucia,6
Canada,Austria,8
Canada,Poland,4
Canada,New Zealand,4
Canada,Algeria,4
Canada,Morocco,4
Canada,El Salvador,2
Canada,Taiwan,8
Canada,Guyana,4
Canada,Trinidad and Tobago,6
Canada,Panama,6
Canada,Netherlands,24
Canada,Ethiopia,2
Canada,Tunisia,2
Canada,Egypt,2
Canada,Saint Pierre and Miquelon,6
Canada,Pakistan,6
Canada,Philippines,3
Canada,Qatar,2
Canada,Portugal,28
Canada,Russia,4
Canada,Saudi Arabia,2
Canada,Greece,8
Canada,Puerto Rico,6
Canada,Netherlands Antilles,14
Canada,India,10
Canada,Ukraine,1
Canada,Belize,4
Canada,Argentina,2
Canada,Saint Kitts and Nevis,2
Canada,Hungary,2
Canada,Croatia,4
Algeria,Germany,6
Algeria,France,172
Algeria,Turkey,16
Algeria,Cote d'Ivoire,2
Algeria,Spain,32
Algeria,Jordan,4
Algeria,Lebanon,2
Algeria,Mali,2
Algeria,Belgium,7
Algeria,Egypt,4
Algeria,Morocco,6
Algeria,Senegal,3
Algeria,United Arab Emirates,4
Algeria,Italy,9
Algeria,Switzerland,3
Algeria,United Kingdom,6
Algeria,Portugal,4
Algeria,Niger,2
Algeria,Burkina Faso,2
Algeria,China,2
Algeria,Russia,2
Algeria,Libya,4
Algeria,Tunisia,8
Algeria,Austria,3
Algeria,Malta,2
Algeria,Qatar,2
Algeria,Saudi Arabia,12
Algeria,Mauritania,1
Benin,Togo,7
Benin,Burkina Faso,3
Benin,Belgium,4
Benin,Cote d'Ivoire,18
Benin,France,2
Benin,Morocco,2
Benin,Nigeria,7
Benin,Equatorial Guinea,5
Benin,Mali,6
Benin,Gabon,9
Benin,Senegal,5
Benin,Cameroon,11
Benin,Ethiopia,2
Benin,Niger,5
Benin,Ghana,2
Benin,Kenya,1
Benin,Congo (Brazzaville),14
Benin,Turkey,1
Benin,Tunisia,1
Burkina Faso,Cote d'Ivoire,16
Burkina Faso,Ghana,4
Burkina Faso,Mali,7
Burkina Faso,Senegal,3
Burkina Faso,Togo,5
Burkina Faso,Niger,16
Burkina Faso,Belgium,9
Burkina Faso,France,2
Burkina Faso,Morocco,2
Burkina Faso,Ethiopia,2
Burkina Faso,Turkey,2
Burkina Faso,Tunisia,2
Burkina Faso,Guinea,2
Burkina Faso,Sierra Leone,2
Burkina Faso,Nigeria,1
Ghana,Senegal,6
Ghana,Nigeria,20
Ghana,Liberia,15
Ghana,United Kingdom,4
Ghana,Morocco,2
Ghana,Togo,7
Ghana,Italy,1
Ghana,United States,5
Ghana,Cote d'Ivoire,18
Ghana,Sierra Leone,8
Ghana,United Arab Emirates,2
Ghana,Ethiopia,2
Ghana,Spain,2
Ghana,Netherlands,3
Ghana,Kenya,2
Ghana,Germany,2
Ghana,Lebanon,3
Ghana,Egypt,2
Ghana,South Africa,2
Ghana,Namibia,2
Ghana,Turkey,3
Ghana,Portugal,2
Ghana,France,2
Ghana,Gambia,1
Ghana,Belgium,3
Ghana,Sao Tome and Principe,2
Ghana,Equatorial Guinea,1
Cote d'Ivoire,Mali,8
Cote d'Ivoire,Belgium,7
Cote d'Ivoire,France,6
Cote d'Ivoire,Morocco,2
Cote d'Ivoire,Senegal,14
Cote d'Ivoire,Sierra Leone,4
Cote d'Ivoire,Liberia,4
Cote d'Ivoire,Guinea,4
Cote d'Ivoire,Togo,9
Cote d'Ivoire,Nigeria,13
Cote d'Ivoire,Cameroon,5
Cote d'Ivoire,Gabon,2
Cote d'Ivoire,Kenya,2
Cote d'Ivoire,Turkey,2
Cote d'Ivoire,Tunisia,2
Cote d'Ivoire,Equatorial Guinea,1
Cote d'Ivoire,United States,1
Cote d'Ivoire,Ethiopia,2
Cote d'Ivoire,Congo (Kinshasa),1
Cote d'Ivoire,Niger,2
Cote d'Ivoire,Congo (Brazzaville),2
Cote d'Ivoire,Lebanon,1
Cote d'Ivoire,Portugal,2
Nigeria,Senegal,5
Nigeria,Cameroon,10
Nigeria,Liberia,2
Nigeria,France,9
Nigeria,Morocco,2
Nigeria,Italy,1
Nigeria,United Kingdom,8
Nigeria,Mali,2
Nigeria,Gabon,4
Nigeria,Equatorial Guinea,6
Nigeria,United States,8
Nigeria,United Arab Emirates,5
Nigeria,Ethiopia,10
Nigeria,Togo,7
Nigeria,Chad,9
Nigeria,Niger,4
Nigeria,Spain,3
Nigeria,Netherlands,2
Nigeria,Kenya,3
Nigeria,Germany,9
Nigeria,Lebanon,4
Nigeria,Egypt,6
Nigeria,Qatar,2
Nigeria,Jordan,2
Nigeria,South Africa,4
Nigeria,Sudan,3
Nigeria,Saudi Arabia,2
Nigeria,Turkey,9
Nigeria,Sierra Leone,3
Nigeria,Rwanda,3
Nigeria,Angola,2
Nigeria,Namibia,1
Nigeria,Cape Verde,1
Nigeria,Uganda,1
Nigeria,Brazil,1
Nigeria,Belgium,3
Niger,France,6
Niger,Morocco,2
Niger,Ethiopia,2
Niger,Chad,2
Niger,Turkey,2
Niger,Libya,1
Niger,Togo,2
Niger,Mali,2
Niger,Tunisia,1
Tunisia,Germany,73
Tunisia,Libya,49
Tunisia,France,102
Tunisia,Morocco,5
Tunisia,Italy,16
Tunisia,Russia,12
Tunisia,United Arab Emirates,5
Tunisia,Belgium,10
Tunisia,Malta,4
Tunisia,Netherlands,3
Tunisia,Luxembourg,3
Tunisia,Lebanon,4
Tunisia,Egypt,4
Tunisia,Qatar,2
Tunisia,Jordan,2
Tunisia,Saudi Arabia,10
Tunisia,United Kingdom,48
Tunisia,Turkey,5
Tunisia,Spain,7
Tunisia,Serbia,2
Tunisia,Mali,2
Tunisia,Switzerland,16
Tunisia,Senegal,3
Tunisia,Kuwait,2
Tunisia,Portugal,2
Tunisia,Mauritania,3
Tunisia,Austria,2
Tunisia,Guinea,1
Tunisia,Czech Republic,1
Togo,France,2
Togo,Morocco,2
Togo,Ethiopia,2
Togo,Mali,3
Togo,Guinea,2
Togo,Cameroon,3
Togo,Brazil,2
Togo,Gabon,4
Togo,Belgium,5
Togo,Equatorial Guinea,1
Togo,United States,5
Togo,Senegal,1
Togo,Congo (Kinshasa),3
Belgium,Morocco,60
Belgium,Germany,35
Belgium,India,10
Belgium,United States,53
Belgium,Greece,39
Belgium,France,84
Belgium,United Kingdom,46
Belgium,Burundi,4
Belgium,Senegal,12
Belgium,Cameroon,18
Belgium,Rwanda,6
Belgium,Angola,4
Belgium,Uganda,5
Belgium,Congo (Kinshasa),5
Belgium,Kenya,5
Belgium,Spain,148
Belgium,Finland,4
Belgium,Portugal,38
Belgium,Italy,95
Belgium,Denmark,12
Belgium,United Arab Emirates,10
Belgium,Latvia,5
Belgium,Lithuania,10
Belgium,Ireland,9
Belgium,Bulgaria,9
Belgium,Slovakia,2
Belgium,Hungary,6
Belgium,Poland,19
Belgium,Sweden,17
Belgium,Cyprus,5
Belgium,Croatia,10
Belgium,Norway,8
Belgium,Montenegro,4
Belgium,Turkey,20
Belgium,Switzerland,12
Belgium,China,9
Belgium,Slovenia,6
Belgium,Serbia,5
Belgium,Netherlands,3
Belgium,Malta,5
Belgium,Sierra Leone,3
Belgium,Liberia,4
Belgium,Israel,4
Belgium,Lebanon,2
Belgium,Egypt,14
Belgium,Czech Republic,9
Belgium,Austria,6
Belgium,Estonia,8
Belgium,Ukraine,4
Belgium,Qatar,4
Belgium,Romania,15
Belgium,Thailand,4
Belgium,Russia,9
Belgium,Macedonia,2
Belgium,Georgia,1
Belgium,Belarus,1
Belgium,Hong Kong,3
Belgium,Ethiopia,4
Belgium,Jordan,1
Belgium,Bosnia and Herzegovina,1
Belgium,Martinique,1
Belgium,Guadeloupe,1
Belgium,Japan,2
Belgium,Iran,1
Belgium,Mexico,2
Belgium,Jamaica,1
Belgium,Dominican Republic,2
Belgium,Cape Verde,1
Belgium,Albania,1
Belgium,Cuba,1
Belgium,Moldova,1
Belgium,Panama,1
Belgium,Saudi Arabia,3
Belgium,Gambia,2
Belgium,Brazil,1
Belgium,South Africa,1
Belgium,South Korea,1
Germany,Switzerland,101
Germany,Italy,653
Germany,Croatia,174
Germany,Morocco,72
Germany,Spain,921
Germany,Netherlands,60
Germany,Sweden,74
Germany,Greece,537
Germany,Turkey,328
Germany,Serbia,77
Germany,Norway,60
Germany,United Kingdom,268
Germany,France,232
Germany,Hungary,42
Germany,Ireland,52
Germany,Portugal,178
Germany,Austria,171
Germany,Czech Republic,35
Germany,Bosnia and Herzegovina,22
Germany,Israel,30
Germany,Poland,119
Germany,Finland,44
Germany,Moldova,9
Germany,United Arab Emirates,54
Germany,United States,275
Germany,Malaysia,7
Germany,Jordan,15
Germany,Egypt,71
Germany,Denmark,66
Germany,Mexico,15
Germany,Netherlands Antilles,2
Germany,Russia,114
Germany,Guernsey,5
Germany,Jersey,10
Germany,Dominican Republic,21
Germany,Latvia,32
Germany,Cuba,18
Germany,Romania,66
Germany,China,52
Germany,Bulgaria,32
Germany,Qatar,18
Germany,Saudi Arabia,26
Germany,Cyprus,28
Germany,Lithuania,21
Germany,India,34
Germany,Colombia,6
Germany,Vietnam,8
Germany,Belarus,9
Germany,Taiwan,2
Germany,Hong Kong,8
Germany,Antigua and Barbuda,1
Germany,Barbados,2
Germany,Kenya,5
Germany,Jamaica,3
Germany,Maldives,4
Germany,Mauritius,4
Germany,Brazil,23
Germany,Seychelles,2
Germany,Puerto Rico,2
Germany,Trinidad and Tobago,1
Germany,Tanzania,3
Germany,Ethiopia,4
Germany,Estonia,7
Germany,Bahrain,3
Germany,Luxembourg,23
Germany,Uzbekistan,2
Germany,Iran,11
Germany,Azerbaijan,7
Germany,Japan,25
Germany,Slovenia,9
Germany,Albania,10
Germany,Kazakhstan,9
Germany,South Korea,8
Germany,Malta,20
Germany,Kuwait,5
Germany,Lebanon,8
Germany,Thailand,14
Germany,Venezuela,2
Germany,Ukraine,45
Germany,Iraq,18
Germany,Argentina,2
Germany,South Africa,16
Germany,Angola,2
Germany,Singapore,19
Germany,Georgia,6
Germany,Macedonia,18
Germany,Namibia,6
Germany,Tajikistan,2
Germany,Turkmenistan,3
Germany,Sri Lanka,2
Germany,Oman,4
Germany,Cape Verde,17
Germany,Montenegro,12
Germany,Panama,2
Germany,Costa Rica,2
Germany,Equatorial Guinea,1
Germany,Philippines,1
Germany,Senegal,1
Germany,Slovakia,2
Estonia,Finland,6
Estonia,Latvia,2
Estonia,Norway,14
Estonia,Italy,3
Estonia,Spain,2
Estonia,United Kingdom,9
Estonia,Netherlands,5
Estonia,Poland,4
Estonia,Lithuania,8
Estonia,Sweden,13
Estonia,Denmark,6
Estonia,Ukraine,4
Estonia,Russia,7
Estonia,France,3
Estonia,Croatia,2
Estonia,Turkey,2
Estonia,Greece,2
Estonia,Austria,3
Estonia,Malta,1
Estonia,Cyprus,1
Finland,Sweden,53
Finland,United States,14
Finland,United Kingdom,24
Finland,Austria,6
Finland,Switzerland,8
Finland,France,19
Finland,Spain,43
Finland,Netherlands,13
Finland,Turkey,12
Finland,Thailand,6
Finland,Hungary,6
Finland,China,22
Finland,Denmark,11
Finland,Croatia,8
Finland,India,2
Finland,Russia,18
Finland,Italy,10
Finland,Hong Kong,2
Finland,South Korea,2
Finland,Japan,16
Finland,Poland,15
Finland,Portugal,6
Finland,Slovenia,2
Finland,Belarus,4
Finland,Norway,11
Finland,Czech Republic,6
Finland,Latvia,7
Finland,Singapore,2
Finland,Israel,5
Finland,Lithuania,5
Finland,Greece,6
Finland,Bulgaria,2
Finland,Ireland,4
Finland,Ukraine,2
Finland,Romania,1
Finland,United Arab Emirates,3
Finland,Serbia,1
Finland,Qatar,2
Finland,Cuba,2
Finland,Dominican Republic,4
Finland,Vietnam,2
Finland,Egypt,2
United Kingdom,Switzerland,58
United Kingdom,Sierra Leone,4
United Kingdom,Morocco,71
United Kingdom,Moldova,5
United Kingdom,India,43
United Kingdom,Greece,209
United Kingdom,Spain,1190
United Kingdom,Netherlands,121
United Kingdom,Sweden,59
United Kingdom,United States,451
United Kingdom,United Arab Emirates,48
United Kingdom,Bahrain,8
United Kingdom,Norway,95
United Kingdom,Italy,328
United Kingdom,France,353
United Kingdom,Hungary,42
United Kingdom,Denmark,57
United Kingdom,South Africa,23
United Kingdom,Ireland,144
United Kingdom,Uganda,4
United Kingdom,Gibraltar,15
United Kingdom,Turkey,192
United Kingdom,Malaysia,6
United Kingdom,Kuwait,7
United Kingdom,Cyprus,117
United Kingdom,Portugal,198
United Kingdom,Luxembourg,9
United Kingdom,Kenya,6
United Kingdom,Romania,48
United Kingdom,Czech Republic,45
United Kingdom,Bulgaria,27
United Kingdom,Austria,45
United Kingdom,Poland,177
United Kingdom,Croatia,70
United Kingdom,Jersey,52
United Kingdom,Mexico,29
United Kingdom,Belarus,2
United Kingdom,Kazakhstan,6
United Kingdom,Jordan,4
United Kingdom,Antigua and Barbuda,8
United Kingdom,Bermuda,4
United Kingdom,Lebanon,5
United Kingdom,Barbados,11
United Kingdom,Thailand,8
United Kingdom,Egypt,74
United Kingdom,China,43
United Kingdom,Russia,25
United Kingdom,Argentina,3
United Kingdom,Brazil,9
United Kingdom,Azerbaijan,4
United Kingdom,Hong Kong,10
United Kingdom,Japan,18
United Kingdom,South Korea,6
United Kingdom,Isle of Man,23
United Kingdom,Saudi Arabia,15
United Kingdom,Ukraine,10
United Kingdom,Jamaica,12
United Kingdom,Angola,3
United Kingdom,Malta,66
United Kingdom,Maldives,2
United Kingdom,Mauritius,8
United Kingdom,Albania,4
United Kingdom,Saint Lucia,9
United Kingdom,Bahamas,2
United Kingdom,Singapore,12
United Kingdom,Libya,6
United Kingdom,Israel,17
United Kingdom,Guernsey,24
United Kingdom,Bangladesh,5
United Kingdom,Latvia,17
United Kingdom,Trinidad and Tobago,2
United Kingdom,Ethiopia,4
United Kingdom,Serbia,8
United Kingdom,Slovakia,16
United Kingdom,Lithuania,28
United Kingdom,Montenegro,4
United Kingdom,Uzbekistan,2
United Kingdom,Iran,2
United Kingdom,Pakistan,23
United Kingdom,Philippines,2
United Kingdom,Qatar,20
United Kingdom,Turkmenistan,4
United Kingdom,Cuba,6
United Kingdom,Cape Verde,25
United Kingdom,Dominican Republic,9
United Kingdom,Slovenia,5
United Kingdom,Sri Lanka,2
United Kingdom,Macedonia,3
United Kingdom,Oman,5
United Kingdom,Georgia,2
United Kingdom,Colombia,2
United Kingdom,Costa Rica,3
United Kingdom,Chile,2
United Kingdom,Seychelles,2
United Kingdom,Brunei,1
United Kingdom,Taiwan,4
United Kingdom,Indonesia,2
United Kingdom,Iraq,3
United Kingdom,Australia,2
United Kingdom,Faroe Islands,1
United Kingdom,Saint Helena,1
United Kingdom,Namibia,1
United Kingdom,Vietnam,4
Guernsey,Jersey,7
Guernsey,France,2
Guernsey,Netherlands,2
Jersey,Ireland,4
Jersey,Netherlands,2
Jersey,France,2
Jersey,Switzerland,4
Isle of Man,Ireland,2
Falkland Islands,Chile,1
Falkland Islands,Argentina,3
Falkland Islands,Brazil,1
Netherlands,Morocco,35
Netherlands,France,77
Netherlands,Georgia,5
Netherlands,United States,98
Netherlands,Denmark,23
Netherlands,United Arab Emirates,26
Netherlands,Saudi Arabia,14
Netherlands,Qatar,8
Netherlands,Zimbabwe,3
Netherlands,Tanzania,8
Netherlands,Rwanda,3
Netherlands,Malaysia,6
Netherlands,Kuwait,6
Netherlands,Taiwan,6
Netherlands,Ecuador,5
Netherlands,Uganda,4
Netherlands,Zambia,3
Netherlands,Italy,108
Netherlands,Portugal,54
Netherlands,Norway,31
Netherlands,Sweden,19
Netherlands,South Africa,7
Netherlands,Peru,4
Netherlands,Kenya,9
Netherlands,Panama,4
Netherlands,Belarus,2
Netherlands,Thailand,6
Netherlands,Latvia,6
Netherlands,Hong Kong,4
Netherlands,Cyprus,9
Netherlands,China,35
Netherlands,India,10
Netherlands,Ireland,13
Netherlands,Serbia,8
Netherlands,Bulgaria,8
Netherlands,Spain,180
Netherlands,Greece,46
Netherlands,Poland,31
Netherlands,Malta,7
Netherlands,Turkey,54
Netherlands,Iraq,2
Netherlands,Austria,26
Netherlands,Israel,13
Netherlands,Hungary,9
Netherlands,Czech Republic,13
Netherlands,Croatia,12
Netherlands,Cape Verde,3
Netherlands,Iran,2
Netherlands,Slovenia,4
Netherlands,Kazakhstan,4
Netherlands,South Korea,4
Netherlands,Aruba,4
Netherlands,Egypt,12
Netherlands,Netherlands Antilles,11
Netherlands,Argentina,2
Netherlands,Japan,6
Netherlands,Brazil,7
Netherlands,Switzerland,16
Netherlands,Cuba,4
Netherlands,Ukraine,4
Netherlands,Angola,2
Netherlands,Russia,12
Netherlands,Luxembourg,2
Netherlands,Mexico,5
Netherlands,Romania,9
Netherlands,Suriname,4
Netherlands,Singapore,5
Netherlands,Dominican Republic,3
Netherlands,Jamaica,1
Netherlands,Jordan,5
Netherlands,Macedonia,2
Netherlands,Lithuania,4
Netherlands,Slovakia,1
Netherlands,Indonesia,4
Netherlands,Lebanon,1
Netherlands,Albania,1
Netherlands,Colombia,4
Netherlands,Bosnia and Herzegovina,1
Netherlands,Oman,2
Netherlands,Costa Rica,1
Netherlands,Chile,2
Ireland,Moldova,2
Ireland,United States,91
Ireland,France,52
Ireland,Denmark,7
Ireland,Norway,6
Ireland,Spain,118
Ireland,Turkey,4
Ireland,Sweden,5
Ireland,Greece,9
Ireland,United Arab Emirates,8
Ireland,Italy,34
Ireland,Bulgaria,3
Ireland,Hungary,5
Ireland,Croatia,8
Ireland,Portugal,26
Ireland,Switzerland,10
Ireland,Czech Republic,4
Ireland,Austria,3
Ireland,Poland,34
Ireland,Slovakia,2
Ireland,Lithuania,9
Ireland,Malta,3
Ireland,Romania,7
Ireland,Morocco,3
Ireland,Latvia,3
Ireland,Luxembourg,3
Ireland,Hong Kong,1
Ireland,Ethiopia,1
Ireland,Ukraine,1
Ireland,Cyprus,1
Ireland,China,1
Ireland,Qatar,2
Ireland,Russia,2
Denmark,Greece,23
Denmark,Spain,76
Denmark,Austria,14
Denmark,Norway,69
Denmark,Lithuania,8
Denmark,Poland,28
Denmark,France,29
Denmark,Italy,47
Denmark,Morocco,5
Denmark,Sweden,21
Denmark,Switzerland,16
Denmark,Latvia,8
Denmark,China,6
Denmark,Bulgaria,3
Denmark,Hungary,7
Denmark,Portugal,12
Denmark,United States,19
Denmark,Malta,4
Denmark,Czech Republic,10
Denmark,Croatia,14
Denmark,Israel,4
Denmark,United Arab Emirates,4
Denmark,Bosnia and Herzegovina,2
Denmark,Slovenia,4
Denmark,Serbia,4
Denmark,Luxembourg,4
Denmark,Egypt,8
Denmark,Turkey,22
Denmark,Pakistan,3
Denmark,Qatar,2
Denmark,Faroe Islands,6
Denmark,Thailand,5
Denmark,Russia,6
Denmark,Japan,2
Denmark,Romania,6
Denmark,Singapore,4
Denmark,India,2
Denmark,Jordan,3
Denmark,Cyprus,3
Denmark,Iraq,3
Denmark,Lebanon,2
Denmark,Ukraine,4
Denmark,Hong Kong,2
Denmark,Moldova,1
Denmark,Macedonia,1
Denmark,Saudi Arabia,1
Faroe Islands,Norway,4
Luxembourg,France,18
Luxembourg,Italy,19
Luxembourg,Spain,29
Luxembourg,Turkey,6
Luxembourg,Morocco,4
Luxembourg,Sweden,2
Luxembourg,Greece,10
Luxembourg,Croatia,2
Luxembourg,Portugal,17
Luxembourg,Switzerland,4
Luxembourg,Cape Verde,2
Luxembourg,Malta,3
Luxembourg,Bulgaria,2
Luxembourg,Austria,4
Luxembourg,Poland,2
Luxembourg,Qatar,2
Luxembourg,Brazil,1
Luxembourg,United States,7
Luxembourg,United Arab Emirates,1
Luxembourg,India,1
Norway,Sweden,31
Norway,Russia,8
Norway,Greece,22
Norway,France,33
Norway,Latvia,20
Norway,Spain,130
Norway,Turkey,16
Norway,Serbia,5
Norway,Croatia,20
Norway,Italy,29
Norway,United States,15
Norway,Poland,75
Norway,Czech Republic,6
Norway,Thailand,6
Norway,Bulgaria,2
Norway,Slovakia,2
Norway,Hungary,4
Norway,Portugal,7
Norway,Switzerland,8
Norway,Ukraine,4
Norway,Cyprus,5
Norway,Malta,5
Norway,Lithuania,21
Norway,Morocco,2
Norway,Austria,6
Norway,Pakistan,3
Norway,Qatar,2
Norway,Romania,3
Norway,Israel,1
Norway,United Arab Emirates,1
Norway,Macedonia,1
Norway,South Korea,1
Poland,Greece,22
Poland,France,40
Poland,Italy,81
Poland,Belarus,4
Poland,Latvia,6
Poland,China,5
Poland,Spain,61
Poland,Sweden,41
Poland,United Arab Emirates,6
Poland,Bulgaria,6
Poland,Malta,8
Poland,Cyprus,8
Poland,Slovenia,4
Poland,Serbia,4
Poland,Croatia,16
Poland,Switzerland,20
Poland,Hungary,7
Poland,Armenia,2
Poland,Turkey,4
Poland,United States,12
Poland,Ukraine,52
Poland,Austria,10
Poland,Russia,11
Poland,Portugal,10
Poland,Romania,9
Poland,Czech Republic,7
Poland,Georgia,10
Poland,Israel,20
Poland,Lithuania,6
Poland,Qatar,2
Poland,Jordan,2
Poland,Montenegro,3
Poland,Lebanon,2
Poland,India,2
Poland,South Korea,2
Poland,Moldova,2
Poland,Slovakia,2
Poland,Japan,2
Poland,Singapore,2
Poland,Macedonia,2
Poland,Kazakhstan,1
Poland,Egypt,14
Poland,Morocco,1
Poland,Albania,2
Poland,Cuba,1
Poland,Mexico,2
Poland,Dominican Republic,1
Sweden,Greece,30
Sweden,France,37
Sweden,Austria,12
Sweden,Morocco,3
Sweden,Belarus,2
Sweden,Latvia,8
Sweden,Switzerland,15
Sweden,China,6
Sweden,Spain,85
Sweden,Serbia,16
Sweden,Thailand,6
Sweden,Hungary,9
Sweden,Italy,43
Sweden,Croatia,20
Sweden,Portugal,16
Sweden,United States,16
Sweden,Cyprus,10
Sweden,Czech Republic,13
Sweden,Bosnia and Herzegovina,8
Sweden,Israel,2
Sweden,Lithuania,4
Sweden,United Arab Emirates,4
Sweden,Iran,6
Sweden,Ethiopia,3
Sweden,Malta,6
Sweden,Turkey,22
Sweden,Qatar,4
Sweden,Russia,11
Sweden,Iraq,14
Sweden,Macedonia,8
Sweden,Romania,6
Sweden,India,2
Sweden,Ukraine,2
Sweden,Montenegro,1
Sweden,South Korea,1
Sweden,Egypt,2
South Africa,India,6
South Africa,France,6
South Africa,United Arab Emirates,20
South Africa,United States,11
South Africa,Zimbabwe,33
South Africa,Zambia,22
South Africa,Mauritius,10
South Africa,Namibia,28
